title;binary;rule;description;link;columns
IOC Execution of child process outside of its normal path;Change.exe;process.parent.name: (*change.exe or *Change.exe) and not process.executable: ((*Windows* or *windows* and *system32*) or (*windows* or *Windows* and *syswow64*)) ;Change.exe being executed and executes a child process outside of its normal path of c:\windows\system32\ or c:\windows\syswow64\;https://lolbas-project.github.io/lolbas/Binaries/Change/ ;"[""timestamp"",""user.name"",""host.name"",""process.executable"",""process.command_line"",""process.parent.name""]"
Usage of cipher utility to overwrite deleted data from disk;Cipher.exe;process.name: (*cipher.exe or *CIPHER.EXE) or process.executable : (*cipher.exe or *CIPHER.EXE) and process.command_line : (*/w*);"Detects usage of the ""cipher"" built-in utility in order to overwrite deleted data from disk. Adversaries may destroy data and files on specific systems or in large numbers on a network to interrupt availability to systems, services, and network resources. Data destruction is likely to render stored data irrecoverable by forensic techniques through overwriting files or data on local and remote drives ";https://github.com/SigmaHQ/sigma/blob/c7998c92b3c5f23ea67045bee8ee364d2ed1a775/rules/windows/process_creation/proc_creation_win_cipher_overwrite_deleted_data.yml ;"[""timestamp"",""user.name"",""host.name"",""process.executable"",""process.command_line"",""process.parent.name""]"
Execution from Alternate Data Stream (ADS);Cmd.exe;"process.command_line : ""*txt:*"" and (process.command_line : (*type * and ""* > *"") or process.command_line : (*makecab* and *.cab*) or process.command_line :(*reg * and * export*) or process.command_line : (*regedit * and ""* /E *"") or process.command_line : (*esentutl * and ""* /y *"" and ""* /d *"" and ""* /o *"" ))";Detects execution from an Alternate Data Stream (ADS). Adversaries may use NTFS file attributes to hide their malicious data in order to evade detection;https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/process_creation/proc_creation_win_susp_alternate_data_streams.yml  ;
Processes running from ADS;Cmd.exe;"event.type: start and process.args : (""?:\\*:*"") and process.args_count: 1";Identifies processes running from an Alternate Data Stream. This is uncommon for legitimate processes and sometimes done by adversaries to hide malware.;https://github.com/elastic/detection-rules/blob/61afb1c1c0c3f50637b1bb194f3e6fb09f476e50/rules/windows/defense_evasion_unusual_dir_ads.toml ;
Creation of ADS on highly targeted files;Cmd.exe;"event.type : creation and process.executable : (""C:*"" and ""*:*"") and not process.executable : (""C:*"" and ""*:zone.identifier*"") and file.extension : (pdf or dll or png or exe or dat or com or bat or cmd or sys or vbs or ps1 or hta or txt or vbe or js or wsh or docx or doc or xlsx or xls or pptx or pptrtf or gif or jpg or png or bmp or img or iso)";Identifies suspicious creation of Alternate Data Streams on highly targeted files. This is uncommon for legitimate files and sometimes done by adversaries to hide malware.;https://github.com/elastic/detection-rules/blob/414d32027632a49fb239abb8fbbb55d3fa8dd861/rules/windows/defense_evasion_unusual_ads_file_creation.toml ;
"Usage of "">"" to redirect information in command line";Cmd.exe;"process.name : cmd.exe and process.command_line : ""*>*"" and not process.command_line : ((""*Program Files (x86)*"" and ""*Internet Download Manager*"" and ""*IDMMsgHost.exe*"") or (""*chrome-extension*"") or (*pipe* and ""*chrome.nativeMessaging*"")) ";"Detects the use of the redirection character "">"" to redicrect information in commandline ";https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/process_creation/proc_creation_win_cmd_redirect.yml ;
Usage of cmd key to look for cached credentials;Cmd.exe;"process.name: cmdkey.exe and process.command_line : (""*/l*"" or ""*-l*"")";Detects usage of cmdkey to look for cached credentials on the system;https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/process_creation/proc_creation_win_cmdkey_recon.yml ;
Download of payload to evade antivirus;Cmd.exe;" process.name: (cmdl32.exe or CMDL32.EXE) and process.command_line : (""//vpn"" or ""//lan"")";Lolbas Cmdl32 is use to download a payload to evade antivirus ;https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/process_creation/proc_creation_win_lolbin_cmdl32.yml ;
Suspicious cmd execution via WMI on remote host ;Cmd.exe;"process.name: cmd.exe and process.parent.name : *WmiPrvSE.exe and process.parent.command_line : ""*127.0.0.1*"" and process.command_line : (""2>&1"" or ""1>"")";Detects suspicious command execution (cmd) via Windows Management Instrumentation (WMI) on a remote host. This could be indicative of adversary lateral movement.;https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/deprecated/windows/proc_creation_win_susp_cmd_exectution_via_wmi.yml ;
Payload obfuscation ;Cmd.exe;"process.command_line : (""*^^*"" or ""*^|^*"" or ""*,;,*"" or ""*;;;;*"" or ""*;; ;;*"" or ""*(,(,))*"" or ""*%COMSPEC:~*"" or ""*c^m^d*"" or ""*^c^m^d*"" or ""*c^md*"" or ""*cm^d*"" or ""*cm^d*"" or ""*^cm^d*"" or ""*s^et*"" or ""*s^e^t*"" or ""*se^t*"")";Detects possible payload obfuscation via the command line;https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/process_creation/proc_creation_win_cmd_dosfuscation.yml ;
