title;binary;rule;description;link;columns
Suspicious execution which can be abused to download files ;CertReq.exe ;(process.name : (*certreq.exe or *CertReq.exe) or process.executable : (*certreq.exe or *CertReq.exe)) and (process.command_line : (*-Post* and *-config* and *http* and (*windows* or *Windows*) and *win.ini* ));Detects a suspicious certreq execution taken from the LOLBAS examples, which can be abused to download (small) files;https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/process_creation/proc_creation_win_lolbin_susp_certreq_download.yml  ;
Execution of certutil with decode or decodehex flags;Certutil.exe;process.executable:*certutil.exe and (process.command_line: *-decode* or process.command_line:*/decode* or process.command_line:*-decodehex* or process.command_line:*/decodehex*);"Detects the execution of certutil with either the ""decode"" or ""decodehex"" flags to decode base64 or hex encoded files. This can be abused by attackers to decode an encoded payload before execution ";https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/process_creation/proc_creation_win_certutil_decode.yml ;
Execution of certutil with decode to encode file to base64;Certutil.exe;process.executable: *certutil.exe and(process.command_line: *-encode* or*//encode*);"Detects the execution of certutil with the ""encode"" flag to encode a file to base64. This can be abused by threat actors and attackers for data exfiltration ";https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/process_creation/proc_creation_win_certutil_encode.yml ;
Execution with certain flags to download files;Certutil.exe;process.executable: *certutil.exe and process.command_line: *http* and (process.command_line: *urlcache* or process.command_line: *verifyctl*);Detects the execution of certutil with certain flags that allow the utility to download files. ;https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/process_creation/proc_creation_win_certutil_download.yml  ;
ExportPFX flag which allows to export certificates;Certutil.exe;process.executable: *certutil.exe and (process.command_line:*-exportPFX* or process.command_line:*/exportPFX*);"Detects the execution of the certutil with the ""exportPFX"" flag which allows the utility to export certificates. ";https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/process_creation/proc_creation_win_certutil_export_pfx.yml ;
Possible NTLM coercionusing the syncwithWU flag;Certutil.exe;process.executable: *certutil.exe and (process.command_line:* -syncwithWU and process.command_line:**\\\\*) and not (process.command_line: *win-rfe-test.copyright.com*);Detects possible NTLM coercion via certutil using the 'syncwithWU' flag ;https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/process_creation/proc_creation_win_certutil_ntlm_coercion.yml ;
Flag detection that allows to download files from direct IPs;Certutil.exe;(process.name: CertUtil.exe) and(process.command_line: *urlcache * or *verifyct1 *) and(process.command_line : *\://1* or*\://2* or*\://3* or*\://4* or*\://5* or*\://6* or*\://7*);Detects the execution of certutil with certain flags that allow the utility to download files from direct IPs. ;https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/process_creation/proc_creation_win_certutil_download_direct_ip.yml ;
Execution with encode flag to encode file to base64 with a suspicious location;Certutil.exe;process.executable: *certutil.exe and (process.command_line: *-encode* or process.command_line:*/encode*) and (process.command_line: *\\AppData\\Roaming\\* and process.command_line: *\\Desktop\\* or process.command_line: *\\Local\\Temp\\* or process.command_line: *\\PerfLogs\\* or process.command_line: *\\Users\\Public\\* or process.command_line: *\\Windows\\Temp\\* or process.command_line: *$Recycle.Bin*);"Detects the execution of certutil with the ""encode"" flag to encode a file to base64 where the files are located in potentially suspicious locations ";https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/process_creation/proc_creation_win_certutil_encode_susp_location.yml ;
Execution with encode flag to encode file to base64 with a suspicious extension;Certutil.exe;process.executable: *certutil.exe and (process.commmand_line: *-encode* or process.command_line: */encode*) and (process.command_line: *.acl* or process.command_line:*.bat* or process.command_line: process.command_line: *.gif* or *.doc* or process.command_line:*.jpeg* or process.command_line:*.jpg* or process.command_line: *.mp3* or process.command_line: *.pdf* or process.command_line:*.png* or process.command_line:*.ppt* or process.command_line: *.tmp* or process.command_line: *.xls* or process.command_line: *.xml*);"Detects the execution of certutil with the ""encode"" flag to encode a file to base64 where the extensions of the file is suspicious ";https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/process_creation/proc_creation_win_certutil_encode_susp_extensions.yml ;
Network connection initiated by certutil;Certutil.exe;process.executable : *\\certutil.exe* and destination.port: (80 or 135 or 443 or 445);Detects a network connection initiated by the certutil.exe tool. Attackers can abuse the utility in order to download malware or additional payloads. ;https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/network_connection/net_connection_win_certutil_initiated_connection.yml ;
